league,season,team,age,Playing Time_born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
FRA-Ligue 1,2122,Nantes,643,0,577,418,37495,416.6,53,37,90,48,5,5,80,4,46.3,42.4,35.1,77.2,607,1330,1319,2.6,1.96,4.5600000000000005,2.45,4.4,4.26,1.9300000000000002,6.2,4.140000000000001,6.08
FRA-Ligue 1,2122,Nice,639,0,587,418,37415,415.90000000000003,52,35,87,44,8,10,77,6,56.300000000000004,48.4,39.1,87.6,732,1474,1458,2.47,3.3,5.78,2.14,5.45,3.5,3.19,6.72,3.18,6.41
FRA-Ligue 1,2122,Paris S-G,907,0,558,418,37554,417.0,88,64,152,81,7,8,79,4,77.80000000000001,71.60000000000001,56.2,128.0,877,2055,2032,8.31,4.26,12.6,8.05,12.34,8.1,3.12,11.2,7.85,10.96
FRA-Ligue 1,2122,Reims,780,0,586,418,37345,414.7,42,27,69,38,4,6,68,7,38.0,33.1,26.3,59.1,614,1185,1174,3.8,2.52,6.3100000000000005,3.34,5.85,4.78,2.62,7.45,3.5300000000000002,6.19
FRA-Ligue 1,2122,Rennes,638,0,586,418,37539,417.1,81,61,142,77,4,4,56,2,64.9,61.7,48.1,110.1,676,1737,1723,3.88,2.93,6.83,3.75,6.6899999999999995,4.6499999999999995,4.88,9.53,4.55,9.43
FRA-Ligue 1,2122,Saint-Étienne,916,0,603,418,37400,415.5,41,25,66,36,5,5,81,5,38.8,34.9,26.0,61.0,685,1400,1391,2.09,1.49,3.58,1.8900000000000001,3.38,3.31,4.89,8.17,3.15,8.0
FRA-Ligue 1,2122,Strasbourg,667,0,563,418,37558,417.3,56,40,96,50,6,8,72,3,56.800000000000004,50.5,40.199999999999996,90.7,573,1589,1579,2.89,2.5700000000000003,5.45,2.65,5.19,3.13,2.05,5.21,2.87,4.95
FRA-Ligue 1,2122,Troyes,878,0,582,418,37548,417.3,35,23,58,29,6,7,75,6,40.1,34.8,27.3,61.8,598,1216,1209,2.7600000000000002,1.35,4.09,2.34,3.67,6.3999999999999995,1.77,8.14,6.03,7.76
FRA-Ligue 1,2223,Ajaccio,928,0,590,418,37360,414.90000000000003,22,12,34,16,6,9,86,10,36.6,29.900000000000002,22.9,53.0,487,1169,1150,1.5,0.78,2.29,1.04,1.83,3.59,2.34,5.9799999999999995,3.1,5.5
FRA-Ligue 1,2223,Angers,813,0,575,418,37417,415.9,31,18,49,27,4,4,69,5,42.2,39.1,28.3,67.2,632,1393,1374,2.59,1.54,4.15,2.31,3.8600000000000003,4.43,4.44,8.93,4.21,8.700000000000001
FRA-Ligue 1,2223,Auxerre,869,0,577,418,37443,416.0,32,17,49,25,7,9,54,6,43.6,36.5,27.5,63.7,531,1284,1267,2.0,1.87,3.8800000000000003,1.56,3.42,3.06,2.85,5.91,2.59,5.46
FRA-Ligue 1,2223,Brest,719,0,578,418,37579,417.6,43,28,71,36,7,8,63,2,44.0,37.7,29.6,67.4,592,1311,1294,2.1,2.06,4.17,1.6800000000000002,3.75,3.1,2.2800000000000002,5.41,2.71,5.03
FRA-Ligue 1,2223,Clermont Foot,723,0,585,418,37518,417.2,44,26,70,37,7,10,72,5,48.4,40.5,27.9,68.4,532,1304,1294,2.39,1.43,3.82,2.08,3.5,2.81,1.76,4.56,2.45,4.19
FRA-Ligue 1,2223,Lens,740,0,587,418,37451,416.2,66,49,115,60,6,9,63,3,68.0,60.7,47.8,108.6,738,1829,1821,3.6,2.77,6.35,3.41,6.17,4.3100000000000005,3.57,7.9,4.09,7.67
FRA-Ligue 1,2223,Lille,633,0,560,418,37603,417.7,65,40,105,54,11,12,82,1,71.3,62.0,46.6,108.39999999999999,798,1982,1959,3.81,2.19,6.03,3.5,5.7,4.3500000000000005,2.68,7.01,4.08,6.75
FRA-Ligue 1,2223,Lorient,698,0,563,418,37577,417.4,49,32,81,45,4,6,48,4,45.1,40.300000000000004,29.7,70.3,753,1329,1322,3.86,2.27,6.14,3.56,5.83,5.41,2.52,7.95,5.08,7.61
